prompt;Image;
"female face, realistic, big ears";"""C:\RL_Project\projectReinforcementLearning\images\no_of_features\nf_1.jpg""";2 ears(one of them is of a animal)
"toddler face, realistic";"""C:\RL_Project\projectReinforcementLearning\images\no_of_features\nf_2.jpg""";two ears generated one overlapping with the other
;"""C:\RL_Project\projectReinforcementLearning\images\no_of_features\nf_3.jpg""";
"realistic, toddler face, male";"""C:\RL_Project\projectReinforcementLearning\images\no_of_features\nf_4.jpg""";
;"""C:\RL_Project\projectReinforcementLearning\images\no_of_features\nf_5.jpg""";
